	miRNA_names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	change
319	hsa-mir-512-1	1.26001975709827	2.19653385267851	0.968225144784405	2.2686188894295	0.0232915119021048	0.0451174904710435	Up
320	hsa-mir-512-2	1.18961131760341	2.19119912070734	0.845356219073608	2.59204235003864	0.00954080260219662	0.0204581389131679	Up
321	hsa-mir-514a-1	1.84903768670715	2.23211793961971	0.451755985700754	4.94098143748399	7.77303092111038e-07	3.14570547136016e-06	Up
322	hsa-mir-514a-2	1.72389731137132	2.18263414793588	0.477112873331644	4.57467041854206	4.76970231056257e-06	1.81122616374667e-05	Up
323	hsa-mir-514a-3	1.79869062729449	1.97760096632371	0.456235431728201	4.33460627736131	1.46021231057445e-05	5.26653979797146e-05	Up
324	hsa-mir-516a-1	2.32677270917242	2.86436464066376	0.80779156419372	3.54592046714769	0.000391244270000559	0.00112417520246827	Up
325	hsa-mir-516a-2	2.14904927005699	3.31877729433434	0.864332972111101	3.83969766446414	0.000123185915888609	0.000383343897097403	Up
326	hsa-mir-519a-1	2.21137954709734	2.92460369119206	0.724044542397833	4.03925935482724	5.36202493163086e-05	0.000177771749656377	Up
327	hsa-mir-519a-2	1.77846286637923	2.62291292473117	0.853398001288228	3.07349316587549	0.00211568533553961	0.00519578563884657	Up
328	hsa-mir-520a	3.22064263912397	2.02838456376452	0.86700022039863	2.33954330811116	0.0193073329353424	0.0376536673987899	Up
329	hsa-mir-522	1.74338550986755	2.86479996389093	0.988142859472349	2.89917589995103	0.0037414492970815	0.00862334035851405	Up
330	hsa-mir-526b	2.68515815198549	1.61212832066517	0.713330654123549	2.26000146123812	0.0238211601471591	0.0459370023419489	Up
337	hsa-mir-548d-1	0.72892556494445	1.40767393070917	0.405344944881994	3.47278027882888	0.000515096863945358	0.00144160226208084	Up
338	hsa-mir-548d-2	0.665311036186562	1.0566347366019	0.369424590440432	2.86021765725494	0.00423350337909676	0.00962870689388234	Up
340	hsa-mir-548f-1	1.99138542892489	3.19178403291937	0.510306573243447	6.2546402501398	3.98433267635749e-10	2.64191905155397e-09	Up
342	hsa-mir-548k	0.850180365765418	1.15079478248379	0.350221126839397	3.28590908512356	0.0010165381406679	0.00267151182090161	Up
343	hsa-mir-548o	1.36613901376358	1.0065890707307	0.286944685702875	3.50795508989842	0.000451565273706151	0.00128042521689047	Up
345	hsa-mir-548s	1.46548168859258	1.06205263556437	0.322051654427309	3.29777109033325	0.00097455548956404	0.00258482102155139	Up
346	hsa-mir-548v	5.55517665388034	1.26970993099065	0.267496337944139	4.74664416249242	2.0681933171774e-06	8.06688977107202e-06	Up
347	hsa-mir-549a	2.15344510137522	3.03415258322603	0.41906928687309	7.24021701963784	4.47967342490368e-13	4.59699820507973e-12	Up
348	hsa-mir-550a-1	11.3864242048718	1.18516273639588	0.179724382292154	6.59433473233095	4.27166956257852e-11	3.20189492429798e-10	Up
349	hsa-mir-550a-2	11.5654449544954	1.22247546838346	0.183610919516902	6.65796713833748	2.77640829649344e-11	2.11793270051092e-10	Up
351	hsa-mir-551a	2.5028113318791	1.9728986730654	0.388418762532685	5.07930837377967	3.78811399578922e-07	1.59285573871722e-06	Up
353	hsa-mir-552	178.085488648717	6.16531732101961	0.473708844808506	13.0149930460173	1.00551449094302e-38	1.08344186399111e-36	Up
355	hsa-mir-5580	0.767998059026267	1.18853838574451	0.445221571356671	2.66954357607341	0.00759544166464239	0.0166174383627455	Up
357	hsa-mir-5586	7.17670508350614	1.10525318001342	0.19005710511084	5.81537417066752	6.0498407153637e-09	3.40847235074739e-08	Up
358	hsa-mir-5589	2.48435385741321	3.75157632577388	0.645269550110675	5.81396770563622	6.10091890636641e-09	3.4149299333038e-08	Up
359	hsa-mir-559	1.45784995104409	1.16278178740332	0.361731179226898	3.21449146266143	0.0013067580071006	0.00336369708363413	Up
362	hsa-mir-5698	1.53308114125162	1.40305257299922	0.336214460850316	4.1730881219409	3.00498647637551e-05	0.000104028045888983	Up
364	hsa-mir-5703	1.05433080936135	1.07739443340253	0.341782638576816	3.15227958297942	0.00162001077863625	0.00409515921168458	Up
365	hsa-mir-573	1.18418475076287	2.2907383572137	0.437860020436521	5.23166822796466	1.67987055875196e-07	7.31337586688987e-07	Up
372	hsa-mir-584	420.67788962221	1.6132604312212	0.209765293604134	7.69078813517035	1.46231410025376e-14	1.75071493669269e-13	Up
375	hsa-mir-592	19.4394097708089	2.21512495331413	0.261800475545299	8.46111890629799	2.64824209572377e-17	4.00488541493664e-16	Up
377	hsa-mir-615	12.4109439785954	2.42508481597918	0.302162553080231	8.02576226358289	1.00897451845212e-15	1.3380554383165e-14	Up
379	hsa-mir-618	1.93788254623291	1.3614524306923	0.334679624744638	4.06792744473493	4.74331447365116e-05	0.000159094827871101	Up
384	hsa-mir-643	2.73618506007606	1.23374596815207	0.24123972587101	5.1141907233461	3.15088876023419e-07	1.33796360163639e-06	Up
398	hsa-mir-6715b	1.29427490315667	1.48961832480507	0.468720794909577	3.17805043211798	0.00148268958317299	0.00375905417851504	Up
401	hsa-mir-675	151.845986471629	1.71809253588088	0.344778829725086	4.98317294379943	6.25499968755218e-07	2.56752844317618e-06	Up
405	hsa-mir-6783	1.00827311064618	1.39773666861198	0.356700385572166	3.91851740325411	8.90952975615426e-05	0.000287640998120036	Up
410	hsa-mir-6854	2.19138473607605	1.84884587853349	0.302805676654566	6.10571736619921	1.02339969209652e-09	6.25652861409361e-09	Up
411	hsa-mir-6891	0.843279072458447	1.80012145502656	0.435875083773679	4.12990217160759	3.62917629614651e-05	0.000124140871717393	Up
413	hsa-mir-7-2	12.0248469975569	1.37614204398799	0.24535989525643	5.60866739264689	2.03890435403505e-08	1.04615211498703e-07	Up
414	hsa-mir-7-3	11.5609675409111	1.78270661016115	0.255754505810709	6.97038202517763	3.16081486170099e-12	2.83814834456901e-11	Up
415	hsa-mir-708	264.880778304636	1.15491366661329	0.173197865864079	6.66817492728016	2.59003971569493e-11	2.0298747978932e-10	Up
421	hsa-mir-7641-1	0.720990615200617	1.257011231084	0.528352223485009	2.37911600483624	0.0173542136007584	0.0344685071978196	Up
423	hsa-mir-767	135.323303148602	6.70941406413207	0.63877422494886	10.5035766974931	8.31678823572037e-26	4.21710085834762e-24	Up
425	hsa-mir-7702	4.41829440839296	1.44820594004877	0.321434382219598	4.50544814169687	6.62330133186717e-06	2.4608990293403e-05	Up
426	hsa-mir-7705	3.92012618907441	1.74294820372356	0.263464483966588	6.61549586298166	3.70308342542778e-11	2.80005080063048e-10	Up
429	hsa-mir-7854	1.34745832023344	1.22710773799006	0.316319609660754	3.87932869323565	0.000104745137260002	0.000331949662934271	Up
430	hsa-mir-7974	2.78093676976307	2.55173187354911	0.391230940658554	6.5223161267711	6.9229907345668e-11	4.97301501099715e-10	Up
432	hsa-mir-877	10.2840546993578	1.94826907626481	0.222743929374949	8.74667642674678	2.19728612267421e-18	3.94595966196911e-17	Up
441	hsa-mir-93	19122.2253707069	1.14446313487645	0.139794651133141	8.1867448117629	2.68386413957276e-16	3.85581814718619e-15	Up
442	hsa-mir-934	6.46299763077327	2.8496541505042	0.571105948085603	4.98971190907132	6.04694068277596e-07	2.49400137251334e-06	Up
443	hsa-mir-935	22.8989748842169	3.01036845980875	0.31944945940702	9.42361419360911	4.35822416407109e-21	1.07336835126551e-19	Up
444	hsa-mir-937	10.7513968677704	2.58335765428554	0.289715944036549	8.91686394021738	4.79678439898005e-19	8.98875685200175e-18	Up
446	hsa-mir-940	9.39683257455295	1.13585939343567	0.213000816179481	5.33265277480703	9.67882780073693e-08	4.43784551289108e-07	Up
449	hsa-mir-95	24.879739509777	1.01252058573332	0.210470445532671	4.81074947682453	1.5036539089202e-06	5.97303995156318e-06	Up
450	hsa-mir-96	59.4592058443399	1.81682275389304	0.193547703748245	9.38695070366861	6.17624082592763e-21	1.43889718701341e-19	Up
